,item_id,name,colloq,upper_item,lower_item,explain,buy_price,sell_price,description,tag,stat,effect
0,1053,Vampiric Scepter,;,"['3072', '3074', '3812', '3139', '3144', '3181', '4403']",['1036'],Basic attacks restore Health,550,630,<stats>+15 Attack Damage<br>+10% Life Steal</stats>,"['Damage', 'LifeSteal']","{'FlatPhysicalDamageMod': 15, 'PercentLifeStealMod': 0.1}",
0,1054,Doran's Shield,;dshield,,,Good defensive starting item,450,180,"<stats>+80 Health</stats><br><br><passive>Passive: </passive>Restores 6 Health every 5 seconds.<br><passive>Passive: </passive>Basic attacks deal an additional 5 physical damage to minions on hit.<br><unique>UNIQUE Passive:</unique> Regenerate up to 40 health over 8 seconds after taking damage from an enemy champion, based on percent missing health. (66% effective for Ranged Champions or Area of Effect and Periodic damage triggers)","['Health', 'HealthRegen', 'Lane']","{'FlatHPPoolMod': 80, 'FlatHPRegenMod': 1.2}","{'Effect1Amount': '8', 'Effect2Amount': '5', 'Effect3Amount': '40', 'Effect4Amount': '0.66'}"
0,1055,Doran's Blade,;dblade,,,Good starting item for attackers,450,180,<stats>+8 Attack Damage<br>+80 Health<br>+3% Life Steal</stats>,"['Damage', 'Health', 'Lane', 'LifeSteal']","{'FlatPhysicalDamageMod': 8, 'FlatHPPoolMod': 80, 'PercentLifeStealMod': 0.03}",{'Effect1Amount': '10'}
0,1056,Doran's Ring,;dring,,,Good starting item for casters,400,160,<stats>+60 Health<br>+15 Ability Power<br><mana>+5 Mana per 5 seconds</mana></stats><br><br><passive>Passive: </passive>Basic attacks deal an additional 5 physical damage to minions on hit.,"['Health', 'Lane', 'ManaRegen', 'SpellDamage']","{'FlatHPPoolMod': 60, 'FlatMagicDamageMod': 15}","{'Effect1Amount': '0', 'Effect2Amount': '5'}"
0,1057,Negatron Cloak,;,"['3170', '3091', '3193', '3001', '4401']",['1033'],Moderately increases Magic Resist,270,504,<stats>+40 Magic Resist</stats>,['SpellBlock'],{'FlatSpellBlockMod': 40},
0,1058,Needlessly Large Rod,;nlr,"['3089', '3128', '3907', '4403']",,Greatly increases Ability Power,1250,875,<stats>+60 Ability Power</stats>,['SpellDamage'],{'FlatMagicDamageMod': 60},
0,1082,Dark Seal,;Noxian,['3041'],,Provides Ability Power and Mana.  Increases in power as you kill enemies.,350,140,"<stats>+10 Ability Power<br>+25% Increased Healing from Potions<br><mana>+100 Mana</mana></stats><br><br><unique>UNIQUE Passive - Dread:</unique> Grants +3 Ability Power per Glory.  <br><unique>UNIQUE Passive - Do or Die:</unique> Grants 2 Glory for a champion kill or 1 Glory for an assist, up to 10 Glory total. Lose 4 Glory on death.","['HealthRegen', 'SpellDamage', 'Mana', 'Lane']","{'FlatMPPoolMod': 100, 'FlatMagicDamageMod': 10}","{'Effect1Amount': '0.25', 'Effect2Amount': '2', 'Effect3Amount': '1', 'Effect4Amount': '10', 'Effect5Amount': '3', 'Effect6Amount': '4'}"
0,1083,Cull,;dblade,,,Provides damage and Life Steal on hit - Killing minions grant bonus Gold,450,180,<stats>+7 Attack Damage<br>+3 Life on Hit</stats><br><br><unique>UNIQUE Passive:</unique> Killing a lane minion grants 1 additional Gold. Killing 100 lane minions grants an additional 350 bonus gold immediately and disables this passive.,"['Damage', 'LifeSteal', 'Lane']",{'FlatPhysicalDamageMod': 7},"{'Effect1Amount': '3', 'Effect2Amount': '1', 'Effect3Amount': '100', 'Effect4Amount': '350'}"
0,1400,Enchantment: Warrior,,,"['3133', '3706']",Grants Attack Damage and Cooldown Reduction,525,1838,<stats>+60 Attack Damage<br>+10% Cooldown Reduction</stats><br><br><groupLimit>Limited to 1 Gold Income or Jungle item.</groupLimit>,[],{'FlatPhysicalDamageMod': 60},"{'Effect1Amount': '80', 'Effect2Amount': '30', 'Effect3Amount': '5', 'Effect4Amount': '8', 'Effect5Amount': '40', 'Effect6Amount': '0.1', 'Effect7Amount': '2', 'Effect8Amount': '-0.2', 'Effect9Amount': '0', 'Effect10Amount': '0', 'Effect11Amount': '0', 'Effect12Amount': '0.3', 'Effect13Amount': '0.5'}"
0,1401,Enchantment: Cinderhulk,,,"['3751', '3706']",Grants Health and Immolate Aura,600,1750,"<stats>+300 Health<br>+15% Bonus Health</stats><br><br><unique>UNIQUE Passive - Immolate:</unique> While in combat, burns nearby enemies for <scaleLevel>[12 to 29]</scaleLevel> magic damage a second. Once every 12 seconds, your next immobilizing spell deals <scaleLevel>[12 to 29]</scaleLevel> <scaleHealth>(+3% Your Bonus HP)</scaleHealth> bonus magic damage and releases a fire nova that also deals that bonus damage around you. Immolate's damage is increased by 300% damage to minions and monsters.<br><groupLimit>Limited to 1 Gold Income or Jungle item.</groupLimit>",[],{'FlatHPPoolMod': 300},"{'Effect1Amount': '80', 'Effect2Amount': '30', 'Effect3Amount': '5', 'Effect4Amount': '8', 'Effect5Amount': '40', 'Effect6Amount': '0.1', 'Effect7Amount': '2', 'Effect8Amount': '-0.2', 'Effect9Amount': '0', 'Effect10Amount': '0', 'Effect11Amount': '0', 'Effect12Amount': '0.3', 'Effect13Amount': '0.5'}"
0,1402,Enchantment: Runic Echoes,,,"['3108', '1027', '3706']",Grants Ability Power and periodically empowers your Spells,250,1750,"<stats>+80 Ability Power<br>+10% Cooldown Reduction<br><mana>+300 Mana</mana></stats><br><br><unique>UNIQUE Passive - Echo:</unique> Gain charges upon moving or casting. At 100 charges, the next damaging spell hit expends all charges to deal 60 (+10% of Ability Power) bonus magic damage to up to 4 targets on hit.<br><br>This effect deals 250% damage to Large Monsters. Hitting a Large Monster with this effect will restore 25% of your missing Mana.<br><br><groupLimit>Limited to 1 Gold Income or Jungle item.</groupLimit>",[],"{'FlatMPPoolMod': 300, 'FlatMagicDamageMod': 80}","{'Effect1Amount': '80', 'Effect2Amount': '30', 'Effect3Amount': '5', 'Effect4Amount': '8', 'Effect5Amount': '40', 'Effect6Amount': '0.1', 'Effect7Amount': '2', 'Effect8Amount': '-0.2', 'Effect9Amount': '0', 'Effect10Amount': '0', 'Effect11Amount': '0', 'Effect12Amount': '0.3', 'Effect13Amount': '0.5'}"
0,1412,Enchantment: Warrior,,,"['3133', '3715']",Grants Attack Damage and Cooldown Reduction,525,1838,<stats>+60 Attack Damage<br>+10% Cooldown Reduction</stats><br><br><groupLimit>Limited to 1 Gold Income or Jungle item.</groupLimit>,[],{'FlatPhysicalDamageMod': 60},"{'Effect1Amount': '80', 'Effect2Amount': '30', 'Effect3Amount': '5', 'Effect4Amount': '8', 'Effect5Amount': '40', 'Effect6Amount': '4', 'Effect7Amount': '3', 'Effect8Amount': '18', 'Effect9Amount': '2', 'Effect10Amount': '0.2', 'Effect11Amount': '0.1', 'Effect12Amount': '0.3', 'Effect13Amount': '0.5'}"
0,1413,Enchantment: Cinderhulk,,,"['3751', '3715']",Grants Health and Immolate Aura,600,1750,"<stats>+300 Health<br>+15% Bonus Health</stats><br><br><unique>UNIQUE Passive - Immolate:</unique> While in combat, burns nearby enemies for <scaleLevel>[12 to 29]</scaleLevel> magic damage a second. Once every 12 seconds, your next immobilizing spell deals <scaleLevel>[12 to 29]</scaleLevel> <scaleHealth>(+3% Your Bonus HP)</scaleHealth> bonus magic damage and releases a fire nova that also deals that bonus damage around you. Immolate's damage is increased by 300% damage to minions and monsters.<br><groupLimit>Limited to 1 Gold Income or Jungle item.</groupLimit>",[],{'FlatHPPoolMod': 300},"{'Effect1Amount': '80', 'Effect2Amount': '30', 'Effect3Amount': '5', 'Effect4Amount': '8', 'Effect5Amount': '40', 'Effect6Amount': '4', 'Effect7Amount': '3', 'Effect8Amount': '18', 'Effect9Amount': '2', 'Effect10Amount': '0.2', 'Effect11Amount': '0.1', 'Effect12Amount': '0.3', 'Effect13Amount': '0.4'}"
0,1414,Enchantment: Runic Echoes,,,"['3108', '1027', '3715']",Grants Ability Power and periodically empowers your Spells,250,1750,"<stats>+80 Ability Power<br>+10% Cooldown Reduction<br><mana>+300 Mana</mana></stats><br><br><unique>UNIQUE Passive - Echo:</unique> Gain charges upon moving or casting. At 100 charges, the next damaging spell hit expends all charges to deal 60 (+10% of Ability Power) bonus magic damage to up to 4 targets on hit.<br><br>This effect deals 250% damage to Large Monsters. Hitting a Large Monster with this effect will restore 25% of your missing Mana.<br><br><groupLimit>Limited to 1 Gold Income or Jungle item.</groupLimit>",[],"{'FlatMPPoolMod': 300, 'FlatMagicDamageMod': 80}","{'Effect1Amount': '80', 'Effect2Amount': '30', 'Effect3Amount': '5', 'Effect4Amount': '8', 'Effect5Amount': '40', 'Effect6Amount': '4', 'Effect7Amount': '3', 'Effect8Amount': '18', 'Effect9Amount': '2', 'Effect10Amount': '0.2', 'Effect11Amount': '0.1', 'Effect12Amount': '0.3', 'Effect13Amount': '0.5'}"
0,1416,Enchantment: Bloodrazor,,,"['1043', '3706']",Increases Attack Speed and deals damage based on the target's Health,625,1838,<stats>+50% Attack Speed</stats><br><br><unique>UNIQUE Passive:</unique> Basic attacks deal 4% of the target's maximum Health in bonus physical damage (max 75 vs. monsters and minions) on hit.<br><br><groupLimit>Limited to 1 Gold Income or Jungle item.</groupLimit>,[],{'PercentAttackSpeedMod': 0.5},"{'Effect1Amount': '80', 'Effect2Amount': '30', 'Effect3Amount': '5', 'Effect4Amount': '8', 'Effect5Amount': '40', 'Effect6Amount': '0.1', 'Effect7Amount': '2', 'Effect8Amount': '-0.2', 'Effect9Amount': '0', 'Effect10Amount': '0', 'Effect11Amount': '0', 'Effect12Amount': '0.3', 'Effect13Amount': '0.5'}"
0,1419,Enchantment: Bloodrazor,,,"['1043', '3715']",Increases Attack Speed and deals damage based on the target's Health,625,1838,<stats>+50% Attack Speed</stats><br><br><unique>UNIQUE Passive:</unique> Basic attacks deal 4% of the target's maximum Health in bonus physical damage (max 75 vs. monsters and minions) on hit.<br><br><groupLimit>Limited to 1 Gold Income or Jungle item.</groupLimit>,[],{'PercentAttackSpeedMod': 0.5},"{'Effect1Amount': '80', 'Effect2Amount': '30', 'Effect3Amount': '5', 'Effect4Amount': '8', 'Effect5Amount': '40', 'Effect6Amount': '4', 'Effect7Amount': '3', 'Effect8Amount': '18', 'Effect9Amount': '2', 'Effect10Amount': '0', 'Effect11Amount': '0.1', 'Effect12Amount': '0.3', 'Effect13Amount': '0.5'}"
0,2003,Health Potion,;,,,Consume to restore Health over time,50,20,<groupLimit>Limited to 5 at one time. Limited to 1 type of Healing Potion.</groupLimit><br><br><consumable>Click to Consume:</consumable> Restores 150 Health over 15 seconds.,"['Consumable', 'Jungle', 'Lane']",{},"{'Effect1Amount': '150', 'Effect2Amount': '15'}"
0,2006,Showdown Health Potion,;,,,Consume to restore Health over time,50,20,<groupLimit>Limited to 2 at one time. Limited to 1 type of Healing Potion.</groupLimit><br><br><consumable>Click to Consume:</consumable> Restores 150 Health over 15 seconds.,"['Consumable', 'Jungle', 'Lane']",{},"{'Effect1Amount': '150', 'Effect2Amount': '15'}"
0,2009,Total Biscuit of Rejuvenation,;,,,,0,0,<consumable>Click to Consume:</consumable> Restores 80 Health and 50 Mana over 10 seconds.,[],{},
0,2010,Total Biscuit of Everlasting Will,;,,,,75,30,<consumable>Click to Consume:</consumable> Restores 10% of missing Health and Mana over 5 seconds.,[],{},{'Effect1Amount': '10'}
0,2015,Kircheis Shard,;,"['3094', '3095', '3087']",['1042'],Attack speed and a chargable magic hit,400,490,<stats>+15% Attack Speed</stats><br><br><unique>UNIQUE Passive - Energized:</unique> Moving and attacking will make an attack <a href='Energized'>Energized</a>. <br><unique>UNIQUE Passive - Jolt:</unique> Energized attacks gain <magicDamage>80 bonus magic damage</magicDamage>.,"['AttackSpeed', 'OnHit']",{'PercentAttackSpeedMod': 0.15},{'Effect1Amount': '80'}
0,2031,Refillable Potion,;,['2033'],,Restores Health over time. Refills at shop.,150,60,<groupLimit>Limited to 1 type of Healing Potion.</groupLimit><br><br><active>UNIQUE Active:</active> Consumes a charge to restore 125 Health over 12 seconds. Holds up to 2 charges and refills upon visiting the shop.,"['HealthRegen', 'Consumable', 'Active', 'Lane', 'Jungle']",{},"{'Effect1Amount': '125', 'Effect2Amount': '0', 'Effect3Amount': '12', 'Effect4Amount': '2'}"
0,2033,Corrupting Potion,;,,['2031'],Restores Health and Mana over time and boosts combat power - Refills at Shop,350,200,<groupLimit>Limited to 1 type of Healing Potion.</groupLimit><br><br><active>UNIQUE Active:</active> Consumes a charge to restore 125 Health and 75 Mana over 12 seconds and grants <font color='#FF8811'><u>Touch of Corruption</u></font> during that time. Holds up to 3 charges that refills upon visiting the shop.<br><br><font color='#FF8811'><u>Touch of Corruption:</u></font> Damaging spells and attacks burn enemy champions for 15 magic damage over 3 seconds. (50% Damage for Area of Effect or Damage over Time spells. Damage increases with champion level.)<br><br><rules>(Corrupting Potion can be used even at full Health and Mana.)</rules>,"['Active', 'Consumable', 'HealthRegen', 'Lane', 'ManaRegen']",{},"{'Effect1Amount': '125', 'Effect2Amount': '75', 'Effect3Amount': '12', 'Effect4Amount': '3', 'Effect5Amount': '10', 'Effect6Amount': '0.1', 'Effect7Amount': '15', 'Effect8Amount': '3', 'Effect9Amount': '0.5'}"
0,2047,Oracle's Extract,;,,,Allows champion to see invisible or unseen enemy units,300,120,<consumable>Click to Consume:</consumable> Grants detection of nearby invisible or unseen enemy units for 5 minutes.,"['Consumable', 'Stealth', 'Vision']",{},
0,2051,Guardian's Horn,Golden Arm of Kobe;Golden Bicep of Kobe;Horn; Horn of the ManWolf; ManWolf,,,Good starting item for tanks,950,380,<stats>+150 Health</stats><br><br><passive>Passive: </passive>Restores 20 Health every 5 seconds.<br><unique>UNIQUE Passive:</unique> Blocks 12 damage from attacks and spells from champions (25% effectiveness vs. damage over time abilities).<br><br><groupLimit>Limited to 1 Guardian's Item.</groupLimit>,"['Health', 'HealthRegen', 'Lane']","{'FlatHPPoolMod': 150, 'FlatHPRegenMod': 4}","{'Effect1Amount': '12', 'Effect2Amount': '0.25'}"
0,2052,Poro-Snax,;,,,,0,0,"This savory blend of free-range, grass-fed Avarosan game hens and organic, non-ZMO Freljordian herbs contains the essential nutrients necessary to keep your Poro purring with pleasure.<br><br><i>All proceeds will be donated towards fighting Noxian animal cruelty.</i>",[],{},
0,2054,Diet Poro-Snax,,,,,0,0,"All the flavor of regular Poro-Snax, without the calories! Keeps your Poro happy AND healthy.<br><br><consumable>Click to Consume:</consumable> Gives your Poros a delicious healthy treat.",[],{},
0,2055,Control Ward,orange;,,,Used to disable wards and invisible traps in an area.,75,30,<groupLimit>Can only carry 2 Control Wards in inventory.</groupLimit><br><br><consumable>Click to Consume:</consumable> Places a ward that grants vision of the surrounding area. This device will also reveal invisible traps and reveal / disable wards. Control Wards do not disable other Control Wards. Camouflaged units will also be revealed. <br><br>Limit 1 <font color='#BBFFFF'>Control Ward</font> on the map per player.,"['Consumable', 'Lane', 'Stealth', 'Vision']",{},"{'Effect1Amount': '1', 'Effect2Amount': '2'}"
0,2065,Shurelya's Reverie,;shurelya;reverie;,,"['3114', '3801']",Activate to speed up nearby allies.,600,1435,<stats>+300 Health<br>+10% Cooldown Reduction<br><mana>+100% Base Mana Regen </mana><br>+100% Base Health Regen <br></stats><br><unique>UNIQUE Passive:</unique> +10% Heal and Shield Power<br><active>UNIQUE Active:</active> Grants yourself and nearby allies +40% Movement Speed for 3 seconds. (90 second cooldown).,"['Health', 'HealthRegen', 'ManaRegen', 'Active', 'CooldownReduction', 'NonbootsMovement']",{'FlatHPPoolMod': 300},"{'Effect1Amount': '0.4', 'Effect2Amount': '3', 'Effect3Amount': '90', 'Effect4Amount': '-0.1', 'Effect5Amount': '0', 'Effect6Amount': '2', 'Effect7Amount': '0.1', 'Effect8Amount': '1000'}"
0,2138,Elixir of Iron,;white,,,Temporarily increases defenses. Leaves a trail for allies to follow.,500,200,"<stats><levelLimit>Level 9 required to purchase.</levelLimit></stats><br><br><consumable>Click to Consume:</consumable> Grants +300 Health, 25% Tenacity, increased champion size, and <font color='#FF8811'><u>Path of Iron</u></font> for 3 minutes.<br><br><font color='#FF8811'><u>Path of Iron:</u></font> Moving leaves a path behind that boosts allied champion's Movement Speed by 15%.<br><br><rules>(Only one Elixir effect may be active at a time.)</rules>","['Health', 'Consumable', 'NonbootsMovement', 'Tenacity']",{},"{'Effect1Amount': '300', 'Effect2Amount': '0.25', 'Effect3Amount': '3', 'Effect4Amount': '0.15', 'Effect5Amount': '0.15', 'Effect6Amount': '0', 'Effect7Amount': '0', 'Effect8Amount': '9'}"
0,2139,Elixir of Sorcery,;blue,,,Temporarily grants Ability Power and Bonus Damage to champions and turrets.,500,200,"<stats><levelLimit>Level 9 required to purchase.</levelLimit></stats><br><br><consumable>Click to Consume:</consumable> Grants +50 Ability Power, 15 bonus Mana Regen per 5 seconds and <font color='#FF8811'><u>Sorcery</u></font> for 3 minutes. <br><br><font color='#FF8811'><u>Sorcery:</u></font> Damaging a champion or turret deals 25 bonus True Damage. This effect has a 5 second cooldown versus champions but no cooldown versus turrets.<br><br><rules>(Only one Elixir effect may be active at a time.)</rules><br>","['Consumable', 'ManaRegen', 'SpellDamage']",{},"{'Effect1Amount': '50', 'Effect2Amount': '50', 'Effect3Amount': '25', 'Effect4Amount': '3', 'Effect5Amount': '5', 'Effect6Amount': '3', 'Effect7Amount': '0', 'Effect8Amount': '9'}"
0,2140,Elixir of Wrath,;red,,,Temporarily grants Attack Damage and heals you when dealing physical damage to champions.,500,200,<stats><levelLimit>Level 9 required to purchase.</levelLimit></stats><br><br><consumable>Click to Consume:</consumable> Grants +30 Attack Damage and <font color='#FF8811'><u>Bloodlust</u></font> for 3 minutes.<br><br><font color='#FF8811'><u>Bloodlust:</u></font> Dealing physical damage to champions heals for 15% of the damage dealt.<br><br><rules>(Only one Elixir effect may be active at a time.)</rules>,"['Consumable', 'Damage', 'LifeSteal', 'SpellVamp']",{},"{'Effect1Amount': '30', 'Effect2Amount': '30', 'Effect3Amount': '0.15', 'Effect4Amount': '3', 'Effect5Amount': '0', 'Effect6Amount': '0', 'Effect7Amount': '0', 'Effect8Amount': '9'}"
0,2403,Minion Dematerializer,;,,,,0,0,"<consumable>Click to Consume:</consumable> Kill target Lane Minion (550 Range, 10 Second Cooldown).",[],{},
0,2419,Commencing Stopwatch,,['2420'],,,0,0,Transforms into a Stopwatch after 14 minutes. Takedowns reduce this timer by 2 minutes. That Stopwatch contributes 250 gold to the items it builds into.<br><br><rules>(Stopwatch normally contributes 650 gold)</rules>,['Active'],{},
0,2420,Stopwatch,;zhg;zonyas,"['3157', '3026', '3193', '4003']",,Activate to become invincible but unable to take actions,650,260,"<active>UNIQUE Active - Stasis:</active> Champion becomes invulnerable and untargetable for 2.5 seconds, but is unable to move, attack, cast spells, or use items during this time (One time use).",['Active'],{},"{'Effect1Amount': '0', 'Effect2Amount': '2.5'}"
0,2421,Broken Stopwatch,;,"['3157', '3026', '3193']",,Upgrades to stopwatch,650,260,"<unique>UNIQUE Passive:</unique> Is broken, but can still be upgraded.<br><br><rules>After breaking one Stopwatch, the shopkeeper will only sell you Broken Stopwatches.</rules>",[],{},"{'Effect1Amount': '0', 'Effect2Amount': '0', 'Effect3Amount': '0', 'Effect4Amount': '0', 'Effect5Amount': '300'}"
0,2422,Slightly Magical Boots,;,"['3006', '3047', '3020', '3158', '3111', '3117', '3009', '4001']",,Slightly increases Movement Speed,300,210,<groupLimit>Limited to 1 pair of boots.</groupLimit><br><br><unique>UNIQUE Passive - Enhanced Movement:</unique> +25 Movement Speed<br><unique>UNIQUE Passive:</unique> +10 Movement Speed<br><br>Boots that build from Slightly Magical Boots retain the +10 Movement Speed.,['Boots'],{'FlatMovementSpeedMod': 25},
0,2423,Perfectly Timed Stopwatch,;zhg;zonyas,"['3157', '3026', '3193']",,Activate to become invincible but unable to take actions,650,260,"<active>UNIQUE Active - Stasis:</active> Champion becomes invulnerable and untargetable for 2.5 seconds, but is unable to move, attack, cast spells, or use items during this time (One time use).",['Active'],{},"{'Effect1Amount': '0', 'Effect2Amount': '2.5'}"
0,2424,Broken Stopwatch,,"['3157', '3026', '3193']",,,650,260,"<unique>UNIQUE Passive:</unique> Is broken, but can still be upgraded.<br><br><rules>After breaking one Stopwatch, the shopkeeper will only sell you Broken Stopwatches.</rules>",[],{},"{'Effect1Amount': '0', 'Effect2Amount': '0', 'Effect3Amount': '0', 'Effect4Amount': '0', 'Effect5Amount': '300'}"
0,3001,Abyssal Mask,;,['3379'],"['3010', '1057']",Nearby enemies take more magic damage,1180,2100,"<stats>+350 Health<br><mana>+300 Mana</mana><br>+55 Magic Resist<br>+10% Cooldown Reduction</stats><br><br><unique>UNIQUE Passive - Eternity:</unique> 15% of damage taken from champions is gained as Mana. Spending Mana restores 20% of the cost as Health, up to 25 per spell cast.<br><aura>UNIQUE Aura:</aura> Nearby enemy champions take 15% more magic damage.","['Health', 'SpellBlock', 'HealthRegen', 'Mana', 'ManaRegen', 'Aura', 'CooldownReduction', 'MagicPenetration']","{'FlatHPPoolMod': 350, 'FlatSpellBlockMod': 55, 'FlatMPPoolMod': 300}","{'Effect1Amount': '-10', 'Effect2Amount': '-25', 'Effect3Amount': '0.15', 'Effect4Amount': '25', 'Effect5Amount': '0.2', 'Effect6Amount': '0.15', 'Effect7Amount': '325'}"
